Dataset,Generator,TaskType,Utility,Privacy,Fidelity,UtilityRaw,PrivacyRaw,FidelityRaw,CompositeScore,CompositeRank
Eshop_Price_Regression_Hungarian_Mahalanobis,CopulaGAN,classification,0.613612478420689,0.948116937745553,0.5073753258679131,,1.3003876678834854,,0.6820926704523154,3.0
Eshop_Price_Regression_Hungarian_Mahalanobis,CTABGAN,classification,0.613612478420689,0.7275798951371752,0.5073753258679131,,,,0.6159315576698021,5.5
Eshop_Price_Regression_Hungarian_Mahalanobis,ForestDiffusion,classification,0.613612478420689,0.7275798951371752,0.5073753258679131,,,,0.6159315576698021,5.5
Eshop_Price_Regression_Hungarian_Mahalanobis,TabDDPM,classification,0.613612478420689,0.7275798951371752,0.5073753258679131,,,,0.6159315576698021,5.5
Eshop_Price_Regression_Hungarian_Mahalanobis,WGAN_GP,classification,0.613612478420689,0.7275798951371752,0.5073753258679131,,,,0.6159315576698021,5.5
Eshop_Price_Regression_Hungarian_Mahalanobis,TVAE,classification,0.613612478420689,0.0,0.5073753258679131,,2.0235364699034606,,0.39765758912864957,8.0
Hungarian_Mahalanobis_Four_Models,GaussianCopula,classification,0.613612478420689,1.0,0.5073753258679131,,101.27860737097257,,0.6976575891286496,1.0
Hungarian_Mahalanobis_Four_Models,TVAE,classification,0.613612478420689,0.6236613602654424,0.5073753258679131,,142.8240716732114,,0.5847559972082823,2.0
Hungarian_Mahalanobis_Four_Models,CTABGAN,classification,0.613612478420689,0.43024159167754766,0.5073753258679131,,,,0.5267300666319139,4.5
Hungarian_Mahalanobis_Four_Models,ForestDiffusion,classification,0.613612478420689,0.43024159167754766,0.5073753258679131,,,,0.5267300666319139,4.5
Hungarian_Mahalanobis_Four_Models,TabDDPM,classification,0.613612478420689,0.43024159167754766,0.5073753258679131,,,,0.5267300666319139,4.5
Hungarian_Mahalanobis_Four_Models,WGAN_GP,classification,0.613612478420689,0.43024159167754766,0.5073753258679131,,,,0.5267300666319139,4.5
Hungarian_Mahalanobis_Four_Models,CTGAN,classification,0.613612478420689,0.09730500644474827,0.5073753258679131,,200.93056619457695,,0.426849091062074,7.0
Hungarian_Mahalanobis_Four_Models,CopulaGAN,classification,0.613612478420689,0.0,0.5073753258679131,,211.67243865957485,,0.39765758912864957,8.0
Hungarian_Mahalanobis_Four_Models_AD,GaussianCopula,classification,0.613612478420689,1.0,0.5073753258679131,,65.39016115046181,,0.6976575891286496,1.0
Hungarian_Mahalanobis_Four_Models_AD,TVAE,classification,0.613612478420689,0.6912260639424623,0.5073753258679131,,67.70811483372042,,0.6050254083113882,2.0
Hungarian_Mahalanobis_Four_Models_AD,CTABGAN,classification,0.613612478420689,0.4471108445122455,0.5073753258679131,,,,0.5317908424823232,4.5
Hungarian_Mahalanobis_Four_Models_AD,ForestDiffusion,classification,0.613612478420689,0.4471108445122455,0.5073753258679131,,,,0.5317908424823232,4.5
Hungarian_Mahalanobis_Four_Models_AD,TabDDPM,classification,0.613612478420689,0.4471108445122455,0.5073753258679131,,,,0.5317908424823232,4.5
Hungarian_Mahalanobis_Four_Models_AD,WGAN_GP,classification,0.613612478420689,0.4471108445122455,0.5073753258679131,,,,0.5317908424823232,4.5
Hungarian_Mahalanobis_Four_Models_AD,CTGAN,classification,0.613612478420689,0.09721731410651946,0.5073753258679131,,72.1673149435169,,0.42682278336060536,7.0
Hungarian_Mahalanobis_Four_Models_AD,CopulaGAN,classification,0.613612478420689,0.0,0.5073753258679131,,72.89712146212061,,0.39765758912864957,8.0
Hungarian_Mahalanobis_WGAN_CTABGAN,WGAN_GP,classification,0.613612478420689,1.0,0.5073753258679131,,119.5039259829184,,0.6976575891286496,1.0
Hungarian_Mahalanobis_WGAN_CTABGAN,CTGAN,classification,0.613612478420689,0.5,0.5073753258679131,,,,0.5476575891286495,4.5
Hungarian_Mahalanobis_WGAN_CTABGAN,CopulaGAN,classification,0.613612478420689,0.5,0.5073753258679131,,,,0.5476575891286495,4.5
