Dataset,Generator,RegressionModel,Metric,EvaluationType,Mean,Std,Count,CI_Low,CI_High
10. Metro interstate,CopulaGAN,KNN,MSE,TRTR,4893854.9594,9.313225746154785e-10,2,4893854.959399999,4893854.959400001
10. Metro interstate,CopulaGAN,KNN,MSE,TSTR,5009827.0876,0.0,2,5009827.0876,5009827.0876
10. Metro interstate,CopulaGAN,KNN,R2,TRTR,-0.1753878778299749,0.0,2,-0.1753878778299749,-0.1753878778299749
10. Metro interstate,CopulaGAN,KNN,R2,TSTR,-0.2032416321368118,0.0,2,-0.2032416321368118,-0.2032416321368118
10. Metro interstate,CopulaGAN,KNN,RMSE,TRTR,2212.205903481862,4.547473508864641e-13,2,2212.2059034818617,2212.2059034818626
10. Metro interstate,CopulaGAN,KNN,RMSE,TSTR,2238.264302445089,0.0,2,2238.264302445089,2238.264302445089
10. Metro interstate,CopulaGAN,Lasso,MAE,TRTR,1768.235888101171,0.0,2,1768.235888101171,1768.235888101171
10. Metro interstate,CopulaGAN,Lasso,MAE,TSTR,1854.998607104647,0.0,2,1854.998607104647,1854.998607104647
10. Metro interstate,CopulaGAN,Lasso,MSE,TRTR,4071408.98231644,0.0,2,4071408.98231644,4071408.98231644
10. Metro interstate,CopulaGAN,Lasso,MSE,TSTR,4190457.399062662,0.0,2,4190457.399062662,4190457.399062662
10. Metro interstate,CopulaGAN,Lasso,R2,TRTR,0.02214413724890374,0.0,2,0.02214413724890374,0.02214413724890374
10. Metro interstate,CopulaGAN,Lasso,R2,TSTR,-0.006448468596430779,0.0,2,-0.006448468596430779,-0.006448468596430779
