Dataset,Generator,Metric,Mean_CV,Std_CV,N
14. Energy Efficiency,TabDDPM,MSE,0.1723102277433789,0.05766926598815405,20
14. Energy Efficiency,TabDDPM,R2,0.5596827236081844,1.5190410698784464,20
14. Energy Efficiency,TabDDPM,RMSE,0.0869441974388854,0.02877792042748347,20
14. Energy Efficiency,WGAN_GP,MAE,0.1375400913241352,0.01115045068765542,20
14. Energy Efficiency,WGAN_GP,MSE,0.25716305244612153,0.02601185883768822,20
14. Energy Efficiency,WGAN_GP,R2,0.05881280703932381,0.02984364326594975,20
14. Energy Efficiency,WGAN_GP,RMSE,0.13261478515440306,0.01282219851917137,20
15. Real Estate Valuation,CTABGAN,MAE,0.18039125630008349,0.026071190942833472,20
15. Real Estate Valuation,CTABGAN,MSE,0.3707591122105046,0.05673548945025223,20
15. Real Estate Valuation,CTABGAN,R2,0.4539605551848207,0.43685882691714417,20
15. Real Estate Valuation,CTABGAN,RMSE,0.1819235743936586,0.025243075753579834,20
15. Real Estate Valuation,CTGAN,MAE,0.19063711489275695,0.02788334619247253,20
15. Real Estate Valuation,CTGAN,MSE,0.2876257233510694,0.0768598249545335,20
15. Real Estate Valuation,CTGAN,R2,0.5332599259249221,0.05774552596048696,20
15. Real Estate Valuation,CTGAN,RMSE,0.14601617235517544,0.04295014788794556,20
15. Real Estate Valuation,CopulaGAN,MAE,0.16911557195346844,0.027957104190600945,20
15. Real Estate Valuation,CopulaGAN,MSE,0.27743908196166,0.03928354851785054,20
15. Real Estate Valuation,CopulaGAN,R2,2.4798170587458768,2.1257896897127635,20
15. Real Estate Valuation,CopulaGAN,RMSE,0.1359841399039033,0.023088349352261218,20
15. Real Estate Valuation,ForestDiffusion,MAE,0.10091723410568483,0.0486208301045965,20
15. Real Estate Valuation,ForestDiffusion,MSE,0.20687717618464102,0.1213655780128753,20
15. Real Estate Valuation,ForestDiffusion,R2,0.3019301108153064,0.5503801046631237,20
15. Real Estate Valuation,ForestDiffusion,RMSE,0.10344517559778912,0.061473846833558894,20
15. Real Estate Valuation,GaussianCopula,MAE,0.177975882594883,0.021155607161600653,20
15. Real Estate Valuation,GaussianCopula,MSE,0.3339151509632631,0.045016373542829016,20
15. Real Estate Valuation,GaussianCopula,R2,0.4899323659193314,0.499160459687223,20
15. Real Estate Valuation,GaussianCopula,RMSE,0.17394437287523742,0.019576666419628738,20
15. Real Estate Valuation,TVAE,MAE,0.17311433660208794,0.042531902636216284,20
15. Real Estate Valuation,TVAE,MSE,0.34564116195041955,0.10293419264117867,20
15. Real Estate Valuation,TVAE,R2,0.5374248667419823,0.7667235526377577,20
15. Real Estate Valuation,TVAE,RMSE,0.18205043170846497,0.06671492193901925,20
