Dataset,Generator,Classifier,Leakage,Mean,Std,N,TRTR_Mean,TRTR_Std,Utility_Loss,Utility_Drop_Pct
2. Alzhimers,TVAE,Naive Bayes,0,0.9493333333333334,0.01866666666666666,2,0.9546666666666667,0.0170749979664876,0.005333333333333301,0.5586592178770916
2. Alzhimers,TVAE,Random Forest,0,0.8400000000000001,0.03864367132317183,2,0.9533333333333331,0.01366260102127946,0.11333333333333306,11.888111888111863
2. Alzhimers,TVAE,SVM-RBF,0,0.9053333333333334,0.01927577639306796,2,0.9546666666666666,0.02324746103221695,0.04933333333333312,5.167597765363107
2. Alzhimers,TabDDPM,AdaBoost,0,0.588,0.07807688518377254,2,0.9493333333333334,0.0258542925728871,0.3613333333333334,38.06179775280899
2. Alzhimers,TabDDPM,Decision Tree,0,0.5093333333333333,0.02133333333333333,2,0.9066666666666666,0.04580150409951377,0.3973333333333333,43.82352941176471
2. Alzhimers,TabDDPM,Extra Trees,0,0.5213333333333334,0.06598316283551263,2,0.9479999999999998,0.01627540748764492,0.4266666666666664,45.007032348804486
2. Alzhimers,TabDDPM,Gradient Boosting,0,0.5693333333333334,0.03820413008505175,2,0.9453333333333334,0.02186829262247564,0.376,39.77433004231312
2. Alzhimers,TabDDPM,KNN,0,0.5200000000000001,0.04216370213557839,2,0.916,0.02924228293261507,0.3959999999999999,43.231441048034924
2. Alzhimers,TabDDPM,Logistic Regression,0,0.5200000000000001,0.03955305859784353,2,0.9559999999999998,0.02235073948565364,0.4359999999999997,45.60669456066943
2. Alzhimers,TabDDPM,MLP,0,0.4666666666666667,0.05198290317231447,2,0.9386666666666666,0.02809507667427396,0.472,50.28409090909091
2. Alzhimers,TabDDPM,Naive Bayes,0,0.5693333333333334,0.03957552554574888,2,0.9546666666666667,0.0170749979664876,0.3853333333333333,40.36312849162011
2. Alzhimers,TabDDPM,Random Forest,0,0.5373333333333333,0.04260412082312123,2,0.9533333333333331,0.01366260102127946,0.4159999999999998,43.636363636363626
2. Alzhimers,TabDDPM,SVM-RBF,0,0.5186666666666667,0.03975480404233486,2,0.9573333333333333,0.01959591794226543,0.43866666666666654,45.821727019498596
2. Alzhimers,WGAN_GP,AdaBoost,0,0.8959999999999999,0.0498174445127184,2,0.9493333333333334,0.0258542925728871,0.053333333333333455,5.6179775280899005
2. Alzhimers,WGAN_GP,Decision Tree,0,0.8453333333333335,0.0590893861497609,2,0.9066666666666666,0.04580150409951377,0.06133333333333313,6.76470588235292
2. Alzhimers,WGAN_GP,Extra Trees,0,0.9066666666666666,0.02859681411936961,2,0.9479999999999998,0.01627540748764492,0.04133333333333322,4.360056258790425
2. Alzhimers,WGAN_GP,Gradient Boosting,0,0.8786666666666667,0.04749736834815167,2,0.9453333333333334,0.02186829262247564,0.06666666666666665,7.05218617771509
2. Alzhimers,WGAN_GP,KNN,0,0.836,0.02069889959501337,2,0.916,0.02924228293261507,0.08000000000000007,8.73362445414848
2. Alzhimers,WGAN_GP,Logistic Regression,0,0.8906666666666666,0.04035398920112414,2,0.9559999999999998,0.02235073948565364,0.06533333333333324,6.83403068340306
2. Alzhimers,WGAN_GP,MLP,0,0.8786666666666667,0.03235909626536425,2,0.9386666666666666,0.02809507667427396,0.05999999999999994,6.392045454545449
2. Alzhimers,WGAN_GP,Naive Bayes,0,0.8653333333333334,0.03448671241700681,2,0.9546666666666667,0.0170749979664876,0.08933333333333326,9.357541899441333
2. Alzhimers,WGAN_GP,Random Forest,0,0.9186666666666667,0.03290390047800815,2,0.9533333333333331,0.01366260102127946,0.0346666666666664,3.636363636363609
2. Alzhimers,WGAN_GP,SVM-RBF,0,0.8826666666666666,0.04035398920112414,2,0.9546666666666666,0.02324746103221695,0.07199999999999995,7.541899441340779
3. Adult,CTABGAN,AdaBoost,0,0.742,0.04703426646841878,2,0.837,0.02335713072180646,0.09499999999999997,11.350059737156508
3. Adult,CTABGAN,Decision Tree,0,0.488,0.1081716742549135,2,0.784,0.02913569784454954,0.29600000000000004,37.75510204081633
3. Adult,CTABGAN,Extra Trees,0,0.5995000000000001,0.04437529342625991,2,0.8240000000000001,0.02469817807045691,0.22449999999999992,27.24514563106795
3. Adult,CTABGAN,Gradient Boosting,0,0.282,0.1229543727476895,2,0.8324999999999999,0.02497220677295281,0.5505,66.12612612612612
3. Adult,CTABGAN,KNN,0,0.5395000000000001,0.04675289652345974,2,0.8069999999999998,0.02250925735484548,0.26749999999999974,33.14745972738535
3. Adult,CTABGAN,Logistic Regression,0,0.7710000000000001,0.005676462121975472,2,0.828,0.02175622516277427,0.05699999999999983,6.884057971014473
3. Adult,CTABGAN,MLP,0,0.5445,0.05346078521267299,2,0.8074999999999999,0.02552232138518923,0.2629999999999999,32.56965944272445
3. Adult,CTABGAN,Naive Bayes,0,0.7165000000000001,0.03291824890712006,2,0.8090000000000002,0.02579836342785244,0.09250000000000003,11.43386897404203
3. Adult,CTABGAN,Random Forest,0,0.4635,0.09395773281404547,2,0.8385000000000001,0.02582526755804176,0.3750000000000001,44.7227191413238
3. Adult,CTABGAN,SVM-RBF,0,0.7135,0.0209563037453332,2,0.8334999999999999,0.01434689281110488,0.11999999999999988,14.397120575884811
