Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,TaskType,Category,MetricValue,SourceFile
1. Cancer,CTGAN,,utility,Accuracy_Gap,0.3482456140350878,0.3482456140350878,0.05407380704358751,KNN,,,0,0.0,100,Gap,classification,Utility,0.6140350877192982,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1,0.947074373024434,0.947074373024434,0.02672761688789936,KNN,,,0,0.0,100,TRTR,classification,Utility,0.947074373024434,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1,0.6243262154795239,0.6243262154795239,0.03597395730127182,KNN,,,0,0.0,100,TSTR,classification,Utility,0.6243262154795239,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Gap,0.32274815754491004,0.32274815754491004,0.03597395730127182,KNN,,,0,0.0,100,Gap,classification,Utility,0.6243262154795239,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision,0.9751404010156286,0.9751404010156286,0.02459125532957641,KNN,,,0,0.0,100,TRTR,classification,Utility,0.9751404010156286,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision,0.490045443189898,0.490045443189898,0.04018018602689914,KNN,,,0,0.0,100,TSTR,classification,Utility,0.490045443189898,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall,0.9214285714285715,0.9214285714285715,0.03991203479581002,KNN,,,0,0.0,100,TRTR,classification,Utility,0.9214285714285715,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall,0.8666666666666666,0.8666666666666666,0.06042179781166439,KNN,,,0,0.0,100,TSTR,classification,Utility,0.8666666666666666,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy_Drop,0.3482456140350878,0.3482456140350878,,KNN,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Drop,0.32274815754491,0.32274815754491,,KNN,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision_Drop,0.4850949578257306,0.4850949578257306,,KNN,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall_Drop,0.0547619047619049,0.0547619047619049,,KNN,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy,0.962280701754386,0.962280701754386,0.0136176971019825,Random Forest,,,0,0.0,100,TRTR,classification,Utility,0.962280701754386,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy,0.7157894736842105,0.7157894736842105,0.02723539420396496,Random Forest,,,0,0.0,100,TSTR,classification,Utility,0.7157894736842105,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy_Gap,0.24649122807017543,0.24649122807017543,0.02723539420396496,Random Forest,,,0,0.0,100,Gap,classification,Utility,0.7157894736842105,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1,0.9482304799188631,0.9482304799188631,0.01843776018375915,Random Forest,,,0,0.0,100,TRTR,classification,Utility,0.9482304799188631,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1,0.6893646786324237,0.6893646786324237,0.03071131504379913,Random Forest,,,0,0.0,100,TSTR,classification,Utility,0.6893646786324237,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Gap,0.25886580128643943,0.25886580128643943,0.03071131504379913,Random Forest,,,0,0.0,100,Gap,classification,Utility,0.6893646786324237,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
