Dataset,Generator,Mapping_Method,Metric,Available,Mean
6. Wine dataset,TabDDPM,Hungarian,Mahalanobis Distance,0,
6. Wine dataset,ForestDiffusion,Greedy,Cosine Similarity,0,
6. Wine dataset,ForestDiffusion,Greedy,Mahalanobis Distance,0,
6. Wine dataset,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
6. Wine dataset,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,1,1.6171
6. Wine dataset,ForestDiffusion,Hungarian,Cosine Similarity,1,0.997669
6. Wine dataset,ForestDiffusion,Hungarian,Mahalanobis Distance,0,
7. CDC diabetes dataset,CTGAN,Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,CTGAN,Greedy,Mahalanobis Distance,0,
7. CDC diabetes dataset,CTGAN,One-to-One Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,CTGAN,One-to-One Greedy,Mahalanobis Distance,0,
7. CDC diabetes dataset,CTGAN,Hungarian,Cosine Similarity,1,0.9851661008568016
7. CDC diabetes dataset,CTGAN,Hungarian,Mahalanobis Distance,1,0.480346042408537
7. CDC diabetes dataset,CopulaGAN,Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,CopulaGAN,Greedy,Mahalanobis Distance,0,
7. CDC diabetes dataset,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,0,
7. CDC diabetes dataset,CopulaGAN,Hungarian,Cosine Similarity,1,0.9945577524214452
7. CDC diabetes dataset,CopulaGAN,Hungarian,Mahalanobis Distance,1,0.577594273540177
7. CDC diabetes dataset,TVAE,Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,TVAE,Greedy,Mahalanobis Distance,0,
7. CDC diabetes dataset,TVAE,One-to-One Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,TVAE,One-to-One Greedy,Mahalanobis Distance,0,
7. CDC diabetes dataset,TVAE,Hungarian,Cosine Similarity,1,0.9983234912644736
7. CDC diabetes dataset,TVAE,Hungarian,Mahalanobis Distance,1,0.6194033040135131
7. CDC diabetes dataset,GaussianCopula,Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,GaussianCopula,Greedy,Mahalanobis Distance,0,
7. CDC diabetes dataset,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,0,
7. CDC diabetes dataset,GaussianCopula,Hungarian,Cosine Similarity,1,0.9971737677781224
7. CDC diabetes dataset,GaussianCopula,Hungarian,Mahalanobis Distance,1,27.5822488054879
7. CDC diabetes dataset,WGAN_GP,Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,WGAN_GP,Greedy,Mahalanobis Distance,0,
7. CDC diabetes dataset,WGAN_GP,One-to-One Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,1,3.9642
7. CDC diabetes dataset,WGAN_GP,Hungarian,Cosine Similarity,1,0.982831
7. CDC diabetes dataset,WGAN_GP,Hungarian,Mahalanobis Distance,0,
7. CDC diabetes dataset,CTABGAN,Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,CTABGAN,Greedy,Mahalanobis Distance,0,
7. CDC diabetes dataset,CTABGAN,One-to-One Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,CTABGAN,One-to-One Greedy,Mahalanobis Distance,1,6.856
7. CDC diabetes dataset,CTABGAN,Hungarian,Cosine Similarity,1,0.986286
7. CDC diabetes dataset,CTABGAN,Hungarian,Mahalanobis Distance,0,
7. CDC diabetes dataset,TabDDPM,Greedy,Cosine Similarity,0,
