Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
13. Concrete Compressive Strength,Concrete,TVAE,1000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9972194728703944,curated_mapping_cost_comparison,,,,
14. Energy Efficiency,Energy,GaussianCopula,768.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9993231090584036,curated_mapping_cost_comparison,,,,
15. Real Estate Valuation,RealEstate,TVAE,414.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.923216777270658,curated_mapping_cost_comparison,,,,
15. Real Estate Valuation,RealEstate,GaussianCopula,414.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9033702266244976,curated_mapping_cost_comparison,,,,
14. Energy Efficiency,Energy,TVAE,768.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9991856395133506,curated_mapping_cost_comparison,,,,
15. Real Estate Valuation,RealEstate,CopulaGAN,414.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.8511433790000289,curated_mapping_cost_comparison,,,,
14. Energy Efficiency,Energy,CopulaGAN,768.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9967512227047748,curated_mapping_cost_comparison,,,,
15. Real Estate Valuation,RealEstate,CTGAN,414.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9169089186365058,curated_mapping_cost_comparison,,,,
13. Concrete Compressive Strength,Concrete,CTGAN,1000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9968473117249576,curated_mapping_cost_comparison,,,,
12. Air Quality,AirQuality,TVAE,1000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9959795553323112,curated_mapping_cost_comparison,,,,
11. online shopping,OnlineShop,GaussianCopula,,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9999974157084122,curated_mapping_cost_comparison,,,,
10. Metro interstate,Metro,TabDDPM,1000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9498556148901524,curated_mapping_cost_comparison,,,,
