Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
3. Adult,Adult,CopulaGAN,,Generators/SDV models/3. Adult census.ipynb,One-to-One Greedy,Mahalanobis Distance,2.101094,notebook_output_summary_table,,,,
3. Adult,Adult,TVAE,,Generators/SDV models/3. Adult census.ipynb,One-to-One Greedy,Mahalanobis Distance,2.491583,notebook_output_summary_table,,,,
3. Adult,Adult,GaussianCopula,,Generators/SDV models/3. Adult census.ipynb,One-to-One Greedy,Mahalanobis Distance,5.795991,notebook_output_summary_table,,,,
9. MAGIC Gamma Telescope,MAGIC,CTGAN,,Generators/SDV models/9. MAGIC Gamma Telescope.ipynb,One-to-One Greedy,Mahalanobis Distance,2.43384,notebook_output_summary_table,,,,
4. Forest cover dataset,ForestCover,TabDDPM,1000.0,excel sheets/2. Privacy/4. Forest cover dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,636.1192608076418,excel_sheets_privacy_mahalanobis_summary,502.1413146161954,12.10694845771648,1505.667604378023,409.4536736894076
4. Forest cover dataset,ForestCover,ForestDiffusion,1000.0,excel sheets/2. Privacy/4. Forest cover dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,10.21356345113765,excel_sheets_privacy_mahalanobis_summary,1.699339086465347,0.05810991346786293,500.0924309394063,62.4925559907472
9. MAGIC Gamma Telescope,MAGIC,WGAN_GP,1000.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,1.17739482499675,excel_sheets_privacy_mahalanobis_summary,0.975070796979838,0.3332220675422414,6.606256437427121,0.7000939723363695
9. MAGIC Gamma Telescope,MAGIC,TabDDPM,1000.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,4.284835835531674,excel_sheets_privacy_mahalanobis_summary,1.84800977120466,0.4711859159299238,21.36590514528754,4.1557624865573
9. MAGIC Gamma Telescope,MAGIC,TVAE,2000.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,1.871005046571554,excel_sheets_privacy_mahalanobis_summary,1.369735020107463,0.2972114037303104,16.06201246985735,1.490388141630735
9. MAGIC Gamma Telescope,MAGIC,ForestDiffusion,1000.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,1.307832354805954,excel_sheets_privacy_mahalanobis_summary,1.066825168324087,0.09349141603387207,10.0115325475975,0.9476315639008811
9. MAGIC Gamma Telescope,MAGIC,GaussianCopula,2000.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,2.29071670862113,excel_sheets_privacy_mahalanobis_summary,2.08297953700324,0.6353894370960613,13.44809366406328,1.088666745851257
9. MAGIC Gamma Telescope,MAGIC,CopulaGAN,2000.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,2.898899999348318,excel_sheets_privacy_mahalanobis_summary,2.391325575484585,0.4286060370303149,12.68116421088336,1.778071804471669
9. MAGIC Gamma Telescope,MAGIC,CTGAN,2000.0,excel sheets/2. Privacy/9. MAGIC Gamma Telescope/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,3.259152594267476,excel_sheets_privacy_mahalanobis_summary,2.659895112319814,0.4484124343792382,15.04432745329383,2.091672048885322
6. Wine dataset,Wine,CTGAN,6497.0,excel sheets/2. Privacy/6. Wine dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,14.60013448951508,excel_sheets_privacy_mahalanobis_summary,12.45429771701559,0.2036261828610333,101.6373590977898,10.25483030861619
6. Wine dataset,Wine,CopulaGAN,6497.0,excel sheets/2. Privacy/6. Wine dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,14.97249458978774,excel_sheets_privacy_mahalanobis_summary,12.78855197305502,0.07742566164408675,112.1514251040038,10.42739006638191
6. Wine dataset,Wine,GaussianCopula,6497.0,excel sheets/2. Privacy/6. Wine dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,15.50733446018729,excel_sheets_privacy_mahalanobis_summary,13.0742878004751,0.0653767389131421,219.9021686915835,11.63042857905484
6. Wine dataset,Wine,TVAE,6497.0,excel sheets/2. Privacy/6. Wine dataset/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,13.65101514825886,excel_sheets_privacy_mahalanobis_summary,11.33892539905282,0.05515486714944483,126.0816665247742,10.05140374261778
13. Concrete Compressive Strength,Concrete,TVAE,1000.0,excel sheets/2. Privacy/13. Concrete Compressive Strength/Mahalanobis_Summary.xlsx,Hungarian,Mahalanobis Distance,3.145877314034491,excel_sheets_privacy_mahalanobis_summary,2.591223379637454,0.1708559120302635,15.59087513821607,2.176961567635944
