dataset,dataset_id,problem_type,generator,seed,batch,batch_label,metric_category,metric_name,metric_value,split_seed,n_synthetic_samples,n_train,n_test,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,task
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,F1_TRTR,0.9579899186677384,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,F1_TSTR,0.7917795905744778,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,F1_Gap,0.1662103280932607,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,Precision_TRTR,0.9585588829451,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,Precision_TSTR,0.8081539513676576,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,Precision_Gap,0.1504049315774424,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,Recall_TRTR,0.958187134502924,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,Recall_TSTR,0.7973684210526314,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,Recall_Gap,0.1608187134502925,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,ROC_AUC_TRTR,0.9709325396825398,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,ROC_AUC_TSTR,0.8775407848324516,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Utility,ROC_AUC_Gap,0.0933917548500882,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Privacy,Mahalanobis_Distance,8.619195541629859,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Privacy,Mean_Distance,8.619195541629859,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Privacy,Median_Distance,7.851049455002814,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Privacy,NNDR,0.9227251695953392,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Privacy,MIA_AUC,0.7532098765432098,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Compute,training_time_seconds,1.513854637974873,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Compute,generation_time_seconds,0.0,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Compute,evaluation_time_seconds,6.976419203914702,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,GaussianCopula,42,1st_batch,1st batch,Compute,total_time_seconds,8.500604314962402,42,1000,455,114,1.513854637974873,0,6.976419203914702,8.500604314962402,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Fidelity,Quality_Score,0.82765944737971,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Fidelity,KS_Complement,0.8395684981684983,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Fidelity,Wasserstein_Distance,5.984714765014141,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Fidelity,MMD,0.0628332847072221,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,Accuracy_TRTR,0.958187134502924,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,Accuracy_TSTR,0.8842105263157892,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,Accuracy_Gap,0.0739766081871347,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,F1_TRTR,0.9579899186677384,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,F1_TSTR,0.8811821841179766,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,F1_Gap,0.0768077345497619,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,Precision_TRTR,0.9585588829451,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,Precision_TSTR,0.8873253347085832,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,Precision_Gap,0.0712335482365167,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
