Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,Category,MetricValue,SourceFile
15. Real Estate Valuation,WGAN_GP,,,MMD_Multivariate,,0.061439,,,,,,0.0,,Score,Fidelity,0.061439,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,CTABGAN,,,MMD_Multivariate,,0.006785,,,,,,0.0,,Score,Fidelity,0.006785,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,WGAN_GP,,,PCA_Correlation_Diff,,0.562106,,,,,,0.0,,Score,Fidelity,0.562106,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,CTABGAN,,,PCA_Correlation_Diff,,0.625634,,,,,,0.0,,Score,Fidelity,0.625634,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,WGAN_GP,,,PCA_Mean_Error,,24.321296,,,,,,0.0,,Score,Fidelity,24.321296,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,CTABGAN,,,PCA_Mean_Error,,5.521376,,,,,,0.0,,Score,Fidelity,5.521376,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,CTABGAN,,,Cosine_Similarity,,0.016572,,,,,,0.0,,Score,Fidelity,0.016572,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,WGAN_GP,,,Cosine_Similarity,,0.023284,,,,,,0.0,,Score,Fidelity,0.023284,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,WGAN_GP,,,MMD,,0.080058,,,,,,0.0,,Score,Fidelity,0.080058,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,CTABGAN,,,MMD,,0.010593,,,,,,0.0,,Score,Fidelity,0.010593,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,WGAN_GP,,,Gower_Distance,,0.843701,,,,,,0.0,,Score,Fidelity,0.843701,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,CTABGAN,,,Gower_Distance,,0.776166,,,,,,0.0,,Score,Fidelity,0.776166,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
15. Real Estate Valuation,WGAN_GP,,,Wasserstein_Distance,,0.107111,,,,,,0.0,,Score,Fidelity,0.107111,Generators/Other GANS/15. Real Estate Valuation_other GAN.ipynb
