Dataset,Generator,TaskType,Metric,Mean,SourceFile
15. Real Estate Valuation,GaussianCopula,regression,RMSE_Increase,0.01652693231008371,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,GaussianCopula,regression,MAE_Increase,1.106586102264535,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,TVAE,regression,R2_Drop,0.07863414859713502,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,TVAE,regression,MSE_Increase,5.897583792239224,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,TVAE,regression,RMSE_Increase,0.2519828143838147,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,TVAE,regression,MAE_Increase,1.307880776009048,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,WGAN_GP,regression,R2_Drop,0.09054083674482565,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,WGAN_GP,regression,MSE_Increase,7.070879579481312,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,WGAN_GP,regression,RMSE_Increase,0.420088878296818,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,WGAN_GP,regression,MAE_Increase,1.696712198283532,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,CTABGAN,regression,R2_Drop,0.2197403331095567,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,CTABGAN,regression,MSE_Increase,33.12875310898388,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,CTABGAN,regression,RMSE_Increase,1.425347976130649,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,CTABGAN,regression,MAE_Increase,2.102905721208253,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,CopulaGAN,regression,R2_Drop,0.982789489851627,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,CopulaGAN,regression,MSE_Increase,173.4171227496335,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,CopulaGAN,regression,RMSE_Increase,6.447161629093583,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,CopulaGAN,regression,MAE_Increase,6.834444537593827,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,CTGAN,regression,R2_Drop,1.814856521765575,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,CTGAN,regression,MSE_Increase,322.5056818301879,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
15. Real Estate Valuation,CTGAN,regression,RMSE_Increase,10.77667915005204,Generators/Experiment with utility data leak/utility results/15. Real Estate Valuation/TRTR_TSTR_results_merged.xlsx
