,Dataset,Generator,LeakageLevel,UtilityScore,FidelityScore,PrivacyScore,OverallScore,OverallRank
100,7. CDC diabetes dataset,CTGAN,0.0,0.5401189224921819,0.4472076900509865,0.824464594954789,0.5975492544986054,2.0
101,7. CDC diabetes dataset,CopulaGAN,0.0,0.6676408397580778,0.3109815376614337,0.7381280620645752,0.5817892158210338,3.0
99,7. CDC diabetes dataset,CTABGAN,0.0,0.6699741483115255,0.542096813608149,0.48081639585900127,0.5748636221647553,4.0
102,7. CDC diabetes dataset,ForestDiffusion,0.0,0.6126907201469604,0.29484958429839475,0.7358306576851612,0.5542803606538509,5.0
106,7. CDC diabetes dataset,WGAN_GP,0.0,0.6089189294004369,0.35344482153796275,0.6544186982525546,0.54592662769733,6.0
105,7. CDC diabetes dataset,TabDDPM,0.0,0.3112687776975252,0.5722665571239662,0.25,0.37118747821619996,7.0
103,7. CDC diabetes dataset,GaussianCopula,0.0,0.399911061687439,0.478706835220402,0.19703059854355282,0.36268565480416204,8.0
110,8. Mushroom dataset,ForestDiffusion,0.0,0.6854540568620545,0.1712066308380989,0.8740643163992137,0.5877629069160155,1.0
107,8. Mushroom dataset,CTABGAN,0.0,0.377432168857154,0.45930392579828133,0.5965175288041394,0.46771930392358785,2.0
112,8. Mushroom dataset,TVAE,0.0,0.36667292309357585,0.4039431302146414,0.6238393249874938,0.45500390579807093,3.0
114,8. Mushroom dataset,WGAN_GP,0.0,0.5100138975778759,0.2754930305176135,0.5520664642022749,0.45227340744711686,4.0
111,8. Mushroom dataset,GaussianCopula,0.0,0.3363148782492614,0.343779489884602,0.4949530413496791,0.3861457106699889,5.0
109,8. Mushroom dataset,CopulaGAN,0.0,0.3997825632837796,0.3137404995245627,0.425874725649952,0.38179759286586623,6.0
108,8. Mushroom dataset,CTGAN,0.0,0.2212644916550226,0.3697079075243822,0.5898036904498916,0.3763592760542912,7.0
113,8. Mushroom dataset,TabDDPM,0.0,0.17176280356445117,0.5327151221325226,0.25,0.30351965806553727,8.0
118,9. MAGIC Gamma Telescope,ForestDiffusion,0.0,0.8003546789269058,0.42994101924482675,0.7597975720143217,0.6770634489485069,1.0
122,9. MAGIC Gamma Telescope,WGAN_GP,0.0,0.772962210825022,0.44025577735576116,0.7519121481126877,0.6668352619705435,2.0
115,9. MAGIC Gamma Telescope,CTABGAN,0.0,0.7501904381021873,0.40545928069839854,0.5922216690312354,0.5993804601597651,3.0
120,9. MAGIC Gamma Telescope,TVAE,0.0,0.613560472285469,0.42231433290499076,0.696247314300217,0.5809926830757499,4.0
117,9. MAGIC Gamma Telescope,CopulaGAN,0.0,0.579875769107815,0.4822237920208611,0.534653775786049,0.537013577985199,5.0
116,9. MAGIC Gamma Telescope,CTGAN,0.0,0.5406749967363913,0.4935566242216822,0.47531845897017666,0.5069325236521143,6.0
119,9. MAGIC Gamma Telescope,GaussianCopula,0.0,0.6108694488856174,0.2584613542619237,0.5082180749929617,0.47435160833071255,7.0
121,9. MAGIC Gamma Telescope,TabDDPM,0.0,0.3536155328008232,0.5056131696394188,0.20204322656936974,0.3537431319829659,8.0
125,Eshop_Price_Regression_Hungarian_Mahalanobis,GaussianCopula,0.0,0.6642973791973922,0.43387132399928546,0.9413874004119277,0.6782965690023208,1.0
123,Eshop_Price_Regression_Hungarian_Mahalanobis,CTGAN,0.0,0.6642973791973922,0.43387132399928546,0.902740132270142,0.6667023885597851,2.0
124,Eshop_Price_Regression_Hungarian_Mahalanobis,CopulaGAN,0.0,0.6642973791973922,0.43387132399928546,0.8899277667421458,0.6628586789013862,3.0
126,Eshop_Price_Regression_Hungarian_Mahalanobis,TVAE,0.0,0.6642973791973922,0.43387132399928546,0.0,0.3958803488787425,4.0
129,Hungarian_Mahalanobis_Four_Models,GaussianCopula,0.0,0.6642973791973922,0.43387132399928546,1.0,0.6958803488787425,1.0
130,Hungarian_Mahalanobis_Four_Models,TVAE,0.0,0.6642973791973922,0.43387132399928546,0.6594727790462187,0.5937221825926081,2.0
127,Hungarian_Mahalanobis_Four_Models,CTGAN,0.0,0.6642973791973922,0.43387132399928546,0.11315687847129119,0.4298274124201299,3.0
128,Hungarian_Mahalanobis_Four_Models,CopulaGAN,0.0,0.6642973791973922,0.43387132399928546,0.005032875892116029,0.39739021164637733,4.0
133,Hungarian_Mahalanobis_Four_Models_AD,GaussianCopula,0.0,0.6642973791973922,0.43387132399928546,1.0,0.6958803488787425,1.0
134,Hungarian_Mahalanobis_Four_Models_AD,TVAE,0.0,0.6642973791973922,0.43387132399928546,0.7187129371563918,0.6114942300256601,2.0
132,Hungarian_Mahalanobis_Four_Models_AD,CopulaGAN,0.0,0.6642973791973922,0.43387132399928546,0.14975202559864847,0.44080595655833704,3.0
131,Hungarian_Mahalanobis_Four_Models_AD,CTGAN,0.0,0.6642973791973922,0.43387132399928546,0.07063894756501159,0.417072033148246,4.0
135,Hungarian_Mahalanobis_WGAN_CTABGAN,CTABGAN,0.0,0.6642973791973922,0.43387132399928546,1.0,0.6958803488787425,1.0
136,Hungarian_Mahalanobis_WGAN_CTABGAN,WGAN_GP,0.0,0.6642973791973922,0.43387132399928546,0.0,0.3958803488787425,2.0
137,Hungarian_Mahalanobis_WGAN_TabDDPM,ForestDiffusion,0.0,0.6642973791973922,0.43387132399928546,1.0,0.6958803488787425,1.0
138,Hungarian_Mahalanobis_WGAN_TabDDPM,TabDDPM,0.0,0.6642973791973922,0.43387132399928546,0.0,0.3958803488787425,2.0
140,Hungarian_Matchings_All_Models,CTGAN,0.0,0.6642973791973922,0.43387132399928546,1.0,0.6958803488787425,2.5
141,Hungarian_Matchings_All_Models,CopulaGAN,0.0,0.6642973791973922,0.43387132399928546,1.0,0.6958803488787425,2.5
143,Hungarian_Matchings_All_Models,GaussianCopula,0.0,0.6642973791973922,0.43387132399928546,1.0,0.6958803488787425,2.5
144,Hungarian_Matchings_All_Models,TVAE,0.0,0.6642973791973922,0.43387132399928546,1.0,0.6958803488787425,2.5
142,Hungarian_Matchings_All_Models,ForestDiffusion,0.0,0.6642973791973922,0.43387132399928546,0.12778020061055387,0.43421440906190867,5.5
